1.133626848459243774e-01,8.866373300552368164e-01
9.241452813148498535e-01,7.585477083921432495e-02
9.241452813148498535e-01,7.585477083921432495e-02
1.133626848459243774e-01,8.866373300552368164e-01
1.133626848459243774e-01,8.866373300552368164e-01
9.241452813148498535e-01,7.585477083921432495e-02
9.241452813148498535e-01,7.585477083921432495e-02
1.133626848459243774e-01,8.866373300552368164e-01
9.241452813148498535e-01,7.585477083921432495e-02
1.133626848459243774e-01,8.866373300552368164e-01
9.241452813148498535e-01,7.585477083921432495e-02
1.133626848459243774e-01,8.866373300552368164e-01
1.133627220988273621e-01,8.866372704505920410e-01
1.133626848459243774e-01,8.866373300552368164e-01
