Epoch,TrainLoss,MincutLoss1,OrthoLoss1,MincutLoss2,OrthoLoss2,ConsisLoss1,ConsisLoss2,EntropyLoss,AMI_fine,AMI_coarse
20,0.15404759719967842,-0.9634718060493469,1.1435388922691345,-0.9287629663944245,0.5115494534373284,0.002853945386596024,0.019709751242773285,0.029169046645984055,0.209717519029657,0
40,0.15505145862698555,-0.9537037819623947,1.1154831171035766,-0.958478519320488,0.5905630633234977,0.00394814892206341,0.004627417773010334,0.04222553204745054,0.26774031564433715,0
60,0.1295748010277748,-0.9396739929914475,1.0752248525619508,-0.9852911472320557,0.5889689460396766,0.0052642743336036805,0.012301446869972458,0.04124325830489397,0.3042327157101718,0
80,0.11349024064838886,-0.9233825355768204,1.0310082376003264,-0.8991884291172028,0.5518943578004837,0.0071161619387567045,0.054481237195432665,0.039503851579502224,0.3385679713633429,0
100,0.0828796537593007,-0.9079517453908921,0.9938363790512085,-0.8250434577465058,0.4958257868885994,0.00917887561954558,0.04326663292013123,0.026982307713478804,0.35517329869065595,0
120,0.06539069944992662,-0.8961417853832245,0.9648112297058106,-0.8435961723327636,0.5286878764629364,0.010666103241965175,0.043937994865701026,0.039768713619560005,0.373811485435808,0
140,0.034985842159949244,-0.8864734143018722,0.9403292387723923,-0.7635859698057175,0.43927951604127885,0.012190577667206525,0.06065227990038693,0.01949352731462568,0.3702541169747892,0
160,0.020242001209408046,-0.8783412337303161,0.9167557477951049,-0.7848355323076248,0.4347668528556824,0.013343394314870239,0.060549984825775026,0.0208131710649468,0.37445964009892796,0
180,0.000678840558975935,-0.874924260377884,0.8965659648180008,-0.7422894775867462,0.39574781656265257,0.014062193734571338,0.06171552371233702,0.014122880416107365,0.3818608519078068,0
200,-0.0015565484762191772,-0.8704635262489319,0.8784944862127304,-0.8327711433172226,0.480379980802536,0.015090314205735922,0.045685469312593395,0.026664283708669245,0.38418285855934986,0
220,-0.03734791679307818,-0.8661800444126129,0.85845867395401,-0.833324271440506,0.46682472079992293,0.016156054567545652,0.04412330049090138,0.022584991215262563,0.3822971229805044,0
240,-0.06925282403826713,-0.8609554380178451,0.8386762648820877,-0.7679417908191681,0.37482663840055463,0.017720302660018207,0.02890824656933666,0.009633306408068166,0.3781784234165037,0
260,-0.07129861675202846,-0.8545474380254745,0.8178995698690414,-0.8213834315538406,0.42268857210874555,0.019593155197799205,0.035405127052219036,0.01731133127468638,0.37844844215858475,0
280,-0.08767704181373119,-0.8489236623048783,0.7991853684186936,-0.8138448596000671,0.40244127064943314,0.021317736152559517,0.029700601799417154,0.01375521567533724,0.37795663820792336,0
300,-0.09912671111524105,-0.8434881865978241,0.7829943150281906,-0.7830678373575211,0.36298556476831434,0.023066565115004777,0.038910697726533036,0.01019666038628202,0.3738789533880526,0
320,-0.12600361332297325,-0.8399799823760986,0.768685832619667,-0.7736895471811295,0.3574642017483711,0.023894951585680245,0.03629220104776538,0.007854406366823241,0.37464164157012425,0
340,-0.13675693850964307,-0.8352228581905365,0.7488990664482117,-0.780838406085968,0.3543279513716698,0.024843301624059677,0.04170002024620784,0.008789333229651674,0.3733078498207618,0
360,-0.15855317637324334,-0.8304052352905273,0.7292836099863053,-0.7784040421247482,0.3273949265480042,0.026148325111716986,0.03294759094715137,0.005623055878095329,0.3767355228218519,0
380,-0.16479169428348542,-0.8255873173475266,0.7115165680646897,-0.7716970890760422,0.3288783639669418,0.0273574011400342,0.03377536106854677,0.005727454536827281,0.38085693283781463,0
400,-0.17544477246701717,-0.821999853849411,0.6941156446933746,-0.7680809587240219,0.32340245246887206,0.02798092784360051,0.034607522934675214,0.005961015284992754,0.3831661672652007,0
420,-0.17931832373142242,-0.8174594849348068,0.6827617883682251,-0.7813121885061264,0.365756157040596,0.029076857212930917,0.038512732041999696,0.011348224361427128,0.3847382672487235,0
440,-0.20057985596358777,-0.8156996071338654,0.672406941652298,-0.7782176434993744,0.33372505009174347,0.030036010872572662,0.03240942112191939,0.006309108273126185,0.3839127776712297,0
460,-0.21150760501623153,-0.8124340116977692,0.6630468815565109,-0.7715937793254852,0.3121891424059868,0.030825671274214983,0.03130224584601819,0.004043346139370385,0.38322768137681174,0
480,-0.20923667326569556,-0.8097655713558197,0.652468603849411,-0.7724693804979325,0.3289694845676422,0.030946435499936344,0.031743051111703,0.0065411711880003056,0.3817520219704045,0
500,-0.17899384386837483,-0.8083233803510665,0.641072279214859,-0.8133464455604553,0.4284322515130043,0.03142312103882432,0.038731759181246175,0.023471767199225724,0.3828420384094785,0
520,-0.24403909519314765,-0.8042207896709442,0.6301975876092911,-0.776239088177681,0.31333272010087965,0.03248713407665491,0.029107249388471267,0.0046600938134361055,0.37940367101693756,0
540,-0.24807029142975806,-0.8024964272975922,0.6223850876092911,-0.7712578058242798,0.307500322163105,0.03369750324636698,0.029169719479978384,0.004007322230609134,0.3772129118359699,0
560,-0.25412323102355006,-0.7999687731266022,0.6133944302797317,-0.7786714047193527,0.30444847196340563,0.03379829246550799,0.033881620597095305,0.004093413421651348,0.3770518991445421,0
580,-0.25246105417609216,-0.7997059553861618,0.6060557782649993,-0.7775092929601669,0.31371896862983706,0.03385460423305631,0.037073715450242434,0.0052055627835216,0.3776848219565552,0
600,-0.2544749081134796,-0.7965434342622757,0.5960453420877456,-0.7814948379993438,0.3215466007590294,0.03521397318691015,0.03322300761938107,0.00743979885301087,0.3747935867141848,0
620,-0.29150420874357225,-0.794607150554657,0.5875189423561096,-0.779023277759552,0.28777116984128953,0.035691802762448786,0.028196415025740863,0.002389087123447098,0.3764660688696163,0
640,-0.29212693125009537,-0.7929444581270217,0.5802767723798752,-0.801397904753685,0.31163281202316284,0.036611275747418404,0.02589087132364628,0.0048129505885299295,0.3732754887573674,0
660,-0.297882242500782,-0.7900757431983948,0.5705713391304016,-0.7892100632190704,0.2934027507901192,0.03732187226414681,0.03065700372681034,0.003146753369946964,0.3730871262401505,0
680,-0.30606793612241745,-0.7880858480930328,0.566301304101944,-0.7955826342105865,0.2908305063843727,0.038242508098483084,0.022844329290092176,0.0027877092768903823,0.36971722419030867,0
700,-0.31402102261781695,-0.7863724917173386,0.555861434340477,-0.814960777759552,0.3041974976658821,0.037759816832840444,0.021312086191035237,0.004067481796955974,0.37097077239614,0
720,-0.3368382140994072,-0.7840441167354584,0.547714552283287,-0.809581071138382,0.29018173813819886,0.039365597814321515,0.020960075501352985,0.0028240454441402106,0.36931943432891284,0
740,-0.32356901913881303,-0.7825953871011734,0.5400674134492874,-0.8008304983377457,0.30844494625926017,0.04034087043255567,0.022191697265954526,0.005474606185453012,0.368538777935007,0
760,-0.3264706641435623,-0.7811111241579056,0.5361869186162949,-0.792142653465271,0.2917160362005234,0.041013960354030134,0.03096714559942529,0.0031328696641139686,0.36989059514506417,0
780,-0.34382270127534864,-0.7789300590753555,0.5254319250583649,-0.7891730219125748,0.27262410074472426,0.0412488903850317,0.022678176965564695,0.0017273735953494906,0.36835089442705804,0
800,-0.31578545868396757,-0.7769191145896912,0.5220524072647095,-0.8027831584215164,0.3290157184004784,0.042725722305476665,0.028281386476010084,0.0075872607849305496,0.36792453233777006,0
820,-0.36727898865938186,-0.7755555599927902,0.5147202879190445,-0.8080348402261734,0.28178073465824127,0.042734237387776375,0.020352133642883852,0.0023971861635800453,0.36848566677736677,0
840,-0.35083366334438326,-0.7751071095466614,0.5092574954032898,-0.800541740655899,0.2959560759365559,0.043784944154322145,0.030397293902934074,0.004016134241828695,0.36908009600485203,0
860,-0.36866688877344134,-0.773642635345459,0.5039336368441582,-0.8021236181259155,0.27942095398902894,0.044341695681214335,0.020837576687355495,0.002322570711839944,0.3689115798551292,0
